Domain,Have_IP,Lengthy_URL,Domain_http,TinyURL,Prefix/Suffix,Label,@,?,-,=,.,#,%,+,$,!,*,",",//
graphicriver.net,0,1,0,0,0,0,0,1,1,10,1,0,0,0,0,0,0,0,1
ecnavi.jp,0,1,0,0,0,0,0,2,1,4,4,0,2,0,0,0,0,0,2
hubpages.com,0,1,0,0,0,0,0,1,3,2,1,0,2,1,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,4,0,5,13,0,0,0,0,1
icicibank.com,0,1,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
kienthuc.net.vn,0,1,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1
tobogo.net,0,1,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,1
akhbarelyom.com,0,1,0,0,0,0,0,0,1,0,2,0,22,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
tune.pk,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
sfglobe.com,0,1,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
couchtuner.eu.com,0,1,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,1
olx.in,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
venturebeat.com,0,1,0,1,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,8,4,2,0,2,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,7,5,2,0,2,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,1
metro.co.uk,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
atwiki.jp,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,1
spankbang.com,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,1,6,1,3,0,2,0,0,0,0,0,1
serverfault.com,0,1,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,1,7,1,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,1,0,1,0,26,0,0,0,0,0,1
serverfault.com,0,1,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
cookpad.com,0,1,0,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
pikabu.ru,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,4,6,2,0,0,1,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,1,7,4,2,0,2,0,0,0,0,0,1
europa.eu,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
persianblog.ir,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,8,2,2,0,8,9,0,0,0,0,1
nesn.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
fishki.net,0,1,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,1
syosetu.com,0,1,0,0,0,0,0,1,0,6,2,0,3,0,0,0,0,0,1
akhbarelyom.com,0,1,0,0,0,0,0,0,2,0,2,0,20,0,0,0,0,0,1
allegro.pl,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
getpocket.com,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,2
mylust.com,0,1,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
censor.net.ua,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
genius.com,0,1,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1
codecanyon.net,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
qz.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,1
uproxx.com,0,1,0,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,6,0,1,0,60,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,1
paytm.com,0,1,0,0,0,0,0,1,10,1,1,0,0,0,0,0,0,0,1
motthegioi.vn,0,1,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,1
